Índice;N.º de pieza de DigiKey;Número de pieza del fabricante;Fabricante;Descripción;Cantidad;Precio por unidad;Precio total
59;;;;RF ANT 433MHZ WHIP STR SMA 48MM;4;5,80 €;23,20 €
60;;;;RTL-SDR;2;56,42 €;112,84 €
61;;;;SMA JACK VERTICAL PCB;4;3,50 €;14,00 €
62;;;;SOLAR CELL 6V 60MA (SET OF 10) 72MM X 45MM;1;24,96 €;24,96 €
63;;;;SWITCH TACTILE SPST-NO 0.05A 12V;5;0,39 €;1,95 €
64;;;;TENERGY AA 2500MAH NIMH RECHARGEABLE BATTERY 4 PACK;2;21,37 €;42,74 €
65;;;;USB SOUND CARD;2;10,99 €;21,98 €
66;;;;USB-C CABLE AND POWER PLUG;2;9,99 €;19,98 €
67;;;;PAYLOAD BOARDS;3;31,36 €;94,07 €
;;;;;;Subtotal;832,50 €
